yearID,lgID,total_BB,total_2B,total_3B,total_HR,total_AB,slg,DH_rule
1965,NL,4730,2122,422,1318,55377,0.2801162937681709,No
1984,NL,6149,2770,451,1278,65919,0.2753985952456803,No
1947,NL,4474,1860,392,886,42434,0.3043314323419899,No
1987,NL,6577,3126,435,1824,66276,0.3233448005311123,No
2003,AL,7223,4170,443,2499,78311,0.34334895480839217,Yes
1981,NL,4107,1881,354,719,43654,0.27046776927658406,No
1995,NL,6668,3367,418,1917,69049,0.32330663731552955,No
1958,NL,4065,1769,365,1183,42143,0.31867688584106496,No
1950,AL,5418,1829,423,973,42407,0.3357228759402929,No
2009,AL,7694,4131,388,2560,77965,0.3509266978772526,Yes
1998,NL,8710,4493,491,2565,88700,0.3317812852311161,No
1995,AL,7572,3591,406,2164,69522,0.3542475763067806,Yes
1971,AL,6477,2426,351,1484,64641,0.2833805170093284,No
2008,AL,7521,4285,408,2270,78119,0.33788194933370885,Yes
1989,NL,6251,2903,411,1365,65817,0.28488080587082365,No
1984,AL,7171,3443,534,1980,77910,0.30264407649852393,Yes
1952,AL,4630,1716,339,794,42317,0.2895999243802727,No
2001,AL,7239,4200,440,2506,78134,0.3453426165305757,Yes
2018,AL,7637,4271,390,2900,82710,0.35000604521823236,Yes
1969,AL,7032,2385,378,1649,65536,0.29803466796875,No
2012,NL,7813,4453,558,2434,87814,0.320324777370351,No
1967,AL,4993,1949,365,1197,54179,0.2726886801159121,No
